attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,class
0.0,0.1341353383458647,0.026785714285714284,0.5,0.5384615384615385,0.375,0.07017543859649122,0.0,1.0,0.029850746268656716,1.0,0.5,0.1,0.003940000000000001,0
1.0,0.1867669172932331,0.4464285714285714,0.0,0.23076923076923078,0.875,0.043859649122807015,0.0,0.0,0.0,1.0,0.5,0.0,0.00017,0
1.0,0.4699248120300752,0.30357142857142855,0.5,0.9230769230769231,0.875,0.49122807017543857,1.0,1.0,0.014925373134328358,1.0,0.5,0.044,0.02,1
1.0,0.18165413533834582,0.45839285714285716,0.5,0.9230769230769231,0.375,0.017543859649122806,0.0,0.0,0.0,0.0,0.5,0.0,2.0000000000000005e-05,0
1.0,0.3070676691729324,0.055,0.5,0.9230769230769231,0.375,0.05403508771929824,1.0,1.0,0.014925373134328358,1.0,0.5,0.26,0.5000000000000001,1
1.0,0.31834586466165415,0.17857142857142855,0.5,1.0000000000000002,0.875,0.2631578947368421,1.0,1.0,0.08955223880597014,1.0,0.5,0.0,0.010000000000000002,1
0.0,0.23804511278195487,0.0625,0.0,0.23076923076923078,0.375,0.043859649122807015,0.0,0.0,0.0,1.0,0.5,0.14,0.0,0
1.0,0.1416541353383459,0.39732142857142855,0.5,1.0000000000000002,0.875,0.016140350877192983,1.0,1.0,0.014925373134328358,0.0,0.5,0.05,0.0,1
0.0,0.15037593984962402,0.025357142857142856,0.5,0.6153846153846154,0.375,0.008771929824561403,0.0,1.0,0.014925373134328358,1.0,0.5,0.12,4e-05,0
1.0,0.13789473684210526,0.11303571428571428,0.0,0.5384615384615385,0.375,0.005789473684210527,0.0,0.0,0.0,0.0,0.5,0.08,0.01058,0
1.0,0.23804511278195487,0.16964285714285712,0.5,0.4615384615384616,0.375,0.07017543859649122,0.0,1.0,0.014925373134328358,1.0,0.5,0.23,0.00068,0
1.0,0.1341353383458647,0.026785714285714284,0.5,0.15384615384615385,0.375,0.055614035087719296,0.0,1.0,0.014925373134328358,1.0,0.5,0.2,9e-05,0
0.0,0.06270676691729324,0.36464285714285716,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0005,0
1.0,0.07894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05970149253731343,0.0,0.5,0.0225,1e-05,0
1.0,0.2657142857142857,0.5535714285714285,0.5,0.5384615384615385,0.375,0.017543859649122806,1.0,0.0,0.0,0.0,0.5,0.06,0.0,0
1.0,0.24180451127819544,0.125,0.5,0.5384615384615385,0.375,0.005789473684210527,0.0,0.0,0.0,0.0,0.5,0.108,0.0,0
1.0,0.29203007518797,0.11303571428571428,0.0,1.0000000000000002,0.375,0.11105263157894736,1.0,1.0,0.04477611940298507,1.0,0.5,0.19,0.0,1
0.0,0.3733834586466165,0.17857142857142855,0.5,0.9230769230769231,0.375,0.47368421052631576,1.0,0.0,0.0,1.0,0.5,0.49,0.0,0
1.0,0.3308270676691729,0.08625,0.5,0.6153846153846154,0.375,0.0043859649122807015,0.0,1.0,0.029850746268656716,0.0,0.5,0.11,1e-05,0
0.0,0.2055639097744361,0.5178571428571428,0.5,1.0000000000000002,0.875,0.10824561403508771,1.0,1.0,0.014925373134328358,0.0,0.5,0.06,0.00011000000000000002,1
1.0,0.11654135338345864,0.3482142857142857,0.5,0.5384615384615385,0.375,0.008771929824561403,1.0,0.0,0.0,0.0,0.5,0.07,0.0,0
1.0,0.1942857142857143,0.15178571428571427,0.5,0.9230769230769231,0.375,0.15052631578947367,1.0,1.0,0.014925373134328358,1.0,0.5,0.06,0.0,1
1.0,0.21052631578947364,0.02089285714285714,0.0,0.9230769230769231,0.375,0.008771929824561403,1.0,1.0,0.029850746268656716,0.0,0.5,0.13,0.005000000000000001,1
1.0,0.1792481203007519,0.11607142857142856,0.5,0.5384615384615385,0.875,0.08035087719298245,0.0,1.0,0.014925373134328358,1.0,0.5,0.20800000000000002,0.00021,0
1.0,0.3521804511278196,0.14285714285714285,0.5,0.5384615384615385,0.5,0.17543859649122806,1.0,0.0,0.0,1.0,0.0,0.14,0.0,0
0.0,0.3308270676691729,0.032678571428571425,0.5,0.38461538461538464,0.375,0.02631578947368421,1.0,1.0,0.05970149253731343,0.0,0.5,0.0,0.01583,1
0.0,0.22180451127819548,0.03571428571428571,0.5,0.7692307692307694,0.375,0.03508771929824561,1.0,1.0,0.029850746268656716,1.0,0.5,0.0835,0.005000000000000001,0
1.0,0.15533834586466164,0.03125,0.5,0.4615384615384616,0.375,0.0029824561403508773,0.0,1.0,0.05970149253731343,0.0,0.5,0.127,0.019500000000000003,0
1.0,0.22436090225563912,0.33339285714285716,0.5,0.7692307692307694,0.875,0.1987719298245614,1.0,1.0,0.08955223880597014,0.0,0.5,0.1905,0.00168,1
1.0,0.34466165413533834,0.11607142857142856,0.5,0.7692307692307694,0.875,0.3157894736842105,1.0,0.0,0.0,1.0,0.5,0.051000000000000004,0.006390000000000001,1
1.0,0.11909774436090229,0.041607142857142856,0.0,0.23076923076923078,0.375,0.08771929824561403,1.0,1.0,0.014925373134328358,0.0,0.5,0.09,0.0002,0
0.0,0.1729323308270677,0.4464285714285714,0.5,0.07692307692307693,0.375,0.03508771929824561,0.0,0.0,0.0,1.0,0.5,0.09,0.010620000000000001,0
1.0,0.1290225563909774,0.39285714285714285,0.5,0.6153846153846154,0.375,0.07017543859649122,1.0,1.0,0.014925373134328358,0.0,0.5,0.04,0.0027800000000000004,1
0.0,0.1867669172932331,0.07142857142857142,0.5,0.3076923076923077,0.25,0.0,0.0,0.0,0.0,1.0,0.5,0.138,1e-05,0
1.0,0.16165413533834586,0.47625,0.0,0.38461538461538464,0.375,0.0014035087719298245,0.0,0.0,0.0,1.0,0.5,0.06,0.004750000000000001,0
1.0,0.2969924812030075,0.0625,0.5,1.0000000000000002,0.875,0.15789473684210525,1.0,1.0,0.05970149253731343,1.0,0.5,0.1265,0.008570000000000001,1
1.0,0.2679699248120301,0.02232142857142857,0.5,0.23076923076923078,0.375,0.008771929824561403,0.0,0.0,0.0,0.0,0.5,0.19,0.020100000000000003,0
0.0,0.10526315789473681,0.3407142857142857,0.5,0.15384615384615385,0.375,0.0014035087719298245,0.0,0.0,0.0,0.0,0.5,0.1,0.010000000000000002,0
1.0,0.07894736842105263,0.0625,0.0,0.5384615384615385,0.375,0.0819298245614035,0.0,0.0,0.0,1.0,0.5,0.056,6.000000000000001e-05,0
1.0,0.3935338345864662,0.17857142857142855,0.5,0.15384615384615385,0.5,0.007368421052631578,0.0,0.0,0.0,0.0,0.5,0.275,0.0,0
1.0,0.443609022556391,0.9003571428571429,0.5,0.7692307692307694,0.875,0.007368421052631578,1.0,1.0,0.014925373134328358,0.0,0.5,0.38,0.0009000000000000001,0
1.0,0.08150375939849627,0.0,0.0,0.4615384615384616,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.25,1e-05,1
1.0,0.3221052631578948,0.8973214285714285,0.5,1.0000000000000002,0.875,0.05701754385964912,1.0,1.0,0.014925373134328358,1.0,0.5,0.2575,0.005000000000000001,1
1.0,0.14285714285714288,0.4508928571428571,0.5,0.5384615384615385,0.375,0.0043859649122807015,0.0,1.0,0.029850746268656716,0.0,0.5,0.0,0.05552,0
1.0,0.14781954887218043,0.06392857142857143,0.5,0.5384615384615385,0.375,0.018947368421052633,0.0,0.0,0.0,1.0,0.5,0.068,1e-05,0
1.0,0.26315789473684215,0.040178571428571425,0.5,0.0,0.0,0.0,0.0,1.0,0.014925373134328358,0.0,0.5,0.048,0.00019,0
1.0,0.3559398496240602,0.07285714285714286,0.5,0.6153846153846154,0.375,0.0014035087719298245,1.0,0.0,0.0,1.0,0.5,0.2,0.058,1
0.0,0.631578947368421,0.25285714285714284,0.5,0.23076923076923078,0.875,0.23684210526315788,1.0,1.0,0.04477611940298507,1.0,0.5,0.05,0.0005,0
0.0,0.38090225563909774,0.14285714285714285,0.5,0.5384615384615385,0.375,0.10526315789473684,0.0,0.0,0.0,0.0,0.5,0.24,0.0,0
0.0,0.12030075187969921,0.0625,0.0,0.3076923076923077,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.08,0.0,0
0.0,0.04766917293233083,0.017857142857142856,0.5,0.15384615384615385,0.375,0.005789473684210527,0.0,1.0,0.08955223880597014,1.0,0.5,0.12,0.00035,0
1.0,0.9184962406015037,0.6785714285714285,0.0,0.0,0.0,0.0014035087719298245,0.0,1.0,0.029850746268656716,0.0,0.5,0.0,0.00351,0
1.0,0.33834586466165417,0.17857142857142855,0.5,0.5384615384615385,0.5,0.08771929824561403,1.0,1.0,0.08955223880597014,0.0,0.5,0.0,0.00367,1
